player,message
2,"Player 4, What is there to eat here?"
4,Output from the LLM will be here
4,"Player 3, Do you need a reservation to visit?"
3,Output from the LLM will be here
3,"Player 1, What kind of clothing do people typically wear here?"
1,answer
1,"Player 2, question"
2,Output from the LLM will be here
2,"Player 4, Are most people here happy?"
4,Output from the LLM will be here
4,"Player 3, Would this location smell good?"
3,Output from the LLM will be here
3,"Player 1, Have you been here before?"
1,answer
1,"Player 2, question"
2,Output from the LLM will be here
2,"Player 4, What time of day is the busiest here?"
4,Output from the LLM will be here
4,"Player 3, Is this place kid-friendly?"
3,Output from the LLM will be here
3,"Player 1, Are most people here happy?"
1,answer
1,"Player 2, question"
2,Output from the LLM will be here
2,"Player 4, How far is this location from the nearest public transportation?"
4,Output from the LLM will be here
4,"Player 3, What time of day is the busiest here?"
3,Output from the LLM will be here
3,"Player 1, Do you need a reservation to visit?"
1,answer
1,"Player 2, question"
2,Output from the LLM will be here
2,"Player 4, Do you need a reservation to visit?"
4,Output from the LLM will be here
4,"Player 3, Is there a lot of noise in this place?"
3,Output from the LLM will be here
3,"Player 1, What is there to eat here?"
1,answer
1,"Player 2, question"
2,Output from the LLM will be here
